epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.49565,1.93936,3.29817,1.72866,0.00404,1,0.62912,0.39255,0.57507,2.66672,0.94109,0.0013,0.0013,0.0013
2,13.1768,1.43184,2.84812,1.36295,0.00383,1,0.83561,0.54466,0.783,2.55525,1.03975,0.00269822,0.00269822,0.00269822
3,17.8601,1.4013,1.83077,1.29512,0.04213,0.90909,0.58674,0.33793,1.49732,2.58701,1.80418,0.00409459,0.00409459,0.00409459
4,22.2217,1.35873,1.5468,1.30498,0.00522,1,0.60782,0.34774,0.94591,2.57107,1.24419,0.00548911,0.00548911,0.00548911
5,26.5416,1.27888,1.43411,1.23539,1,0.40911,0.73597,0.48041,1.38118,2.38424,1.50618,0.00688178,0.00688178,0.00688178
6,30.5637,1.28333,1.40124,1.23454,1,0.23667,0.9245,0.6301,1.06058,2.307,1.39251,0.00827261,0.00827261,0.00827261
7,34.6363,1.35494,1.42025,1.28719,0.52408,0.40304,0.31127,0.18946,1.6283,2.6718,1.71636,0.00966159,0.00966159,0.00966159
8,38.7805,1.36876,1.46015,1.30573,0.9169,0.54545,0.815,0.43776,1.90501,2.0113,2.13694,0.0099538,0.0099538,0.0099538
9,42.9079,1.37833,1.42501,1.30428,0.59278,0.79522,0.6539,0.35154,1.76051,1.99389,2.10323,0.0099472,0.0099472,0.0099472
10,47.0168,1.41006,1.40955,1.30373,0.71724,0.72727,0.67255,0.36944,1.74033,1.68948,1.8227,0.0099406,0.0099406,0.0099406
11,51.1124,1.40629,1.38533,1.32022,0.61355,0.81818,0.78646,0.46457,1.22031,1.73494,1.50398,0.009934,0.009934,0.009934
12,55.0368,1.37452,1.3439,1.30761,0.78503,0.45455,0.55979,0.26734,1.90552,3.20752,2.40791,0.0099274,0.0099274,0.0099274
13,59.0767,1.38046,1.30299,1.31816,0.44121,0.45455,0.4163,0.16735,1.89037,2.93278,2.32038,0.0099208,0.0099208,0.0099208
14,64.5974,1.41592,1.31394,1.33481,0.83019,0.44598,0.50115,0.24241,2.147,2.78102,2.64153,0.0099142,0.0099142,0.0099142
15,69.1265,1.4144,1.30621,1.35226,0.49538,0.81818,0.6226,0.3106,1.56991,3.37263,1.76463,0.0099076,0.0099076,0.0099076
16,73.2496,1.39894,1.24609,1.3268,0.81913,0.90909,0.9145,0.49476,1.31472,1.95416,1.63855,0.009901,0.009901,0.009901
17,77.3503,1.36468,1.2169,1.30776,0.76283,0.81818,0.86302,0.5433,1.22743,2.20878,1.483,0.0098944,0.0098944,0.0098944
18,81.4185,1.37956,1.2574,1.30753,0.68024,0.96833,0.81779,0.38926,1.45676,1.69553,1.82211,0.0098878,0.0098878,0.0098878
19,85.4347,1.28619,1.17056,1.27826,0.9453,0.90909,0.9446,0.61016,1.30802,1.42213,1.47922,0.0098812,0.0098812,0.0098812
20,89.4816,1.31531,1.12366,1.28059,0.85113,0.90909,0.92597,0.67572,0.95159,1.19119,1.44859,0.0098746,0.0098746,0.0098746
21,93.7997,1.29489,1.14756,1.2768,0.99125,0.72727,0.88821,0.5853,1.32417,1.25721,1.808,0.009868,0.009868,0.009868
22,97.7,1.31453,1.11363,1.2854,0.96249,0.81818,0.93125,0.62176,1.40154,1.04143,1.51637,0.0098614,0.0098614,0.0098614
23,101.769,1.31661,1.12615,1.25,0.91473,0.9768,0.98,0.63047,1.24057,0.91022,1.42914,0.0098548,0.0098548,0.0098548
24,105.762,1.27048,1.09868,1.24034,0.78033,1,0.93371,0.59342,1.31256,1.1058,1.5247,0.0098482,0.0098482,0.0098482
25,109.779,1.28045,1.08065,1.27029,0.89148,0.81818,0.83812,0.52428,1.35636,0.94587,1.5283,0.0098416,0.0098416,0.0098416
26,113.944,1.24043,1.05352,1.23576,0.89109,0.81818,0.84278,0.50857,1.87167,0.95691,2.29757,0.009835,0.009835,0.009835
27,117.99,1.27888,1.07205,1.24818,0.82058,1,0.97297,0.65819,1.24566,0.93198,1.48785,0.0098284,0.0098284,0.0098284
28,121.967,1.26244,1.0448,1.24374,1,0.63391,0.77501,0.53827,1.21131,1.22049,1.4933,0.0098218,0.0098218,0.0098218
29,126.11,1.26205,1.00874,1.24848,0.95101,0.72727,0.81949,0.58037,1.11854,1.29144,1.30282,0.0098152,0.0098152,0.0098152
30,130.099,1.27512,1.02845,1.25182,0.97762,1,0.995,0.68759,1.07881,0.86905,1.28421,0.0098086,0.0098086,0.0098086
31,134.131,1.27144,1.01811,1.24913,0.89991,0.90909,0.94687,0.62834,0.99723,1.08181,1.22376,0.009802,0.009802,0.009802
32,138.191,1.23476,0.99586,1.24439,0.77677,1,0.92571,0.72417,0.83811,0.84795,1.13606,0.0097954,0.0097954,0.0097954
33,142.241,1.23131,0.98647,1.22935,0.88491,0.90909,0.95869,0.65521,0.98397,1.06722,1.32832,0.0097888,0.0097888,0.0097888
34,146.193,1.23073,0.9995,1.21896,0.96524,0.81818,0.94211,0.67285,1.15364,0.91551,1.49527,0.0097822,0.0097822,0.0097822
35,150.194,1.21482,0.96469,1.22216,0.95303,0.81818,0.945,0.72557,1.17416,1.09346,1.46466,0.0097756,0.0097756,0.0097756
36,154.199,1.20707,0.985,1.20859,1,0.98621,0.995,0.62077,1.27668,0.77534,1.4684,0.009769,0.009769,0.009769
37,158.312,1.20335,0.97201,1.22146,0.82813,1,0.94931,0.52117,1.31374,1.4716,1.48404,0.0097624,0.0097624,0.0097624
38,162.413,1.19676,0.93939,1.20029,0.97799,0.90909,0.9215,0.69122,1.3176,0.97335,1.44528,0.0097558,0.0097558,0.0097558
39,166.487,1.20267,0.94772,1.20497,1,0.99195,0.995,0.70126,1.10248,0.84378,1.42324,0.0097492,0.0097492,0.0097492
40,170.561,1.20153,0.91696,1.20029,0.91095,1,0.9875,0.65613,1.09641,0.74981,1.3113,0.0097426,0.0097426,0.0097426
41,174.584,1.18395,0.98006,1.21221,0.89702,1,0.98,0.59237,1.39554,0.93649,1.53039,0.009736,0.009736,0.009736
42,178.653,1.20175,0.94447,1.22551,0.7547,0.90909,0.87702,0.49983,1.66148,1.09118,1.70402,0.0097294,0.0097294,0.0097294
43,182.711,1.19356,0.96472,1.21018,0.79908,0.81818,0.9065,0.57904,1.5165,0.91678,1.9006,0.0097228,0.0097228,0.0097228
44,186.662,1.16845,0.91326,1.20767,0.81648,0.80969,0.85468,0.57378,1.30781,0.93615,1.49082,0.0097162,0.0097162,0.0097162
45,190.647,1.19959,0.95391,1.2165,0.9695,0.81818,0.92383,0.68197,0.92863,0.86319,1.2099,0.0097096,0.0097096,0.0097096
46,194.81,1.14928,0.93456,1.19942,0.7551,0.8423,0.86436,0.61168,1.02681,1.23607,1.30334,0.009703,0.009703,0.009703
47,198.72,1.14345,0.90103,1.18573,0.99834,0.90909,0.92237,0.65049,1.20056,0.81954,1.48645,0.0096964,0.0096964,0.0096964
48,202.708,1.10955,0.87231,1.1603,0.99219,0.90909,0.91089,0.65488,1.08837,0.84882,1.31217,0.0096898,0.0096898,0.0096898
49,206.696,1.1465,0.90229,1.16816,1,0.99645,0.995,0.66458,1.15573,0.64273,1.38391,0.0096832,0.0096832,0.0096832
50,210.672,1.1528,0.87492,1.15942,0.90211,0.90909,0.89238,0.61264,1.077,0.73894,1.30339,0.0096766,0.0096766,0.0096766
51,214.74,1.09498,0.83012,1.17584,1,0.98061,0.995,0.7224,1.05825,0.80633,1.3881,0.00967,0.00967,0.00967
52,218.788,1.13688,0.85119,1.18076,1,0.9802,0.995,0.68055,1.09976,0.80055,1.36113,0.0096634,0.0096634,0.0096634
53,222.845,1.11171,0.85312,1.17414,0.94321,1,0.995,0.64732,1.24953,0.83148,1.492,0.0096568,0.0096568,0.0096568
54,226.896,1.15253,0.85286,1.18484,0.97727,0.90909,0.9875,0.69901,0.98237,1.00659,1.21491,0.0096502,0.0096502,0.0096502
55,230.952,1.09523,0.86054,1.15353,0.99248,1,0.995,0.68041,1.15821,0.6519,1.34498,0.0096436,0.0096436,0.0096436
56,235.032,1.09785,0.82078,1.16201,0.98694,1,0.995,0.75477,1.0233,0.6166,1.24071,0.009637,0.009637,0.009637
57,239.061,1.14421,0.82677,1.18822,1,0.98125,0.995,0.7618,0.93647,0.66661,1.18756,0.0096304,0.0096304,0.0096304
58,243.27,1.09844,0.81318,1.14335,0.93219,0.81818,0.94396,0.75237,1.04367,0.6797,1.34579,0.0096238,0.0096238,0.0096238
59,247.346,1.13623,0.85788,1.1686,0.90384,0.90909,0.89824,0.74493,0.91853,0.57005,1.33816,0.0096172,0.0096172,0.0096172
60,251.426,1.08549,0.80997,1.14207,0.90326,0.90909,0.89823,0.74459,0.83231,0.61572,1.24521,0.0096106,0.0096106,0.0096106
61,255.375,1.08748,0.7981,1.14013,0.99054,1,0.995,0.78046,0.72493,0.5409,1.11836,0.009604,0.009604,0.009604
62,259.456,1.10017,0.84738,1.16971,0.98025,0.90909,0.90677,0.76646,0.83289,0.68162,1.14736,0.0095974,0.0095974,0.0095974
63,263.555,1.10767,0.82774,1.17331,0.98741,0.90909,0.97571,0.7446,0.8957,0.72796,1.1838,0.0095908,0.0095908,0.0095908
64,267.565,1.09699,0.8113,1.14518,0.98839,0.90909,0.95711,0.68107,1.08059,0.73922,1.39219,0.0095842,0.0095842,0.0095842
65,271.723,1.10082,0.81324,1.16776,0.99694,0.90909,0.9875,0.62853,1.23469,0.72763,1.6122,0.0095776,0.0095776,0.0095776
66,275.914,1.08547,0.81108,1.15993,0.91059,1,0.98,0.74687,1.11285,0.60639,1.33777,0.009571,0.009571,0.009571
67,280.055,1.09385,0.78772,1.15406,0.99305,1,0.995,0.74775,0.98347,0.62722,1.21634,0.0095644,0.0095644,0.0095644
68,284.156,1.11406,0.82784,1.16103,0.91535,0.98417,0.98,0.69464,0.93721,0.62419,1.18169,0.0095578,0.0095578,0.0095578
69,288.143,1.1281,0.82873,1.17948,0.90482,1,0.98,0.82377,0.73379,0.64189,1.01217,0.0095512,0.0095512,0.0095512
70,292.212,1.06994,0.79875,1.16137,0.90502,1,0.98,0.72756,1.01158,0.76396,1.3003,0.0095446,0.0095446,0.0095446
71,296.272,1.0496,0.79738,1.11318,1,0.89363,0.9545,0.69327,1.10232,0.91649,1.4052,0.009538,0.009538,0.009538
72,300.42,1.02918,0.79183,1.12468,0.99231,0.90909,0.97571,0.83867,0.6243,0.67157,0.97426,0.0095314,0.0095314,0.0095314
73,304.706,1.05232,0.79682,1.13479,0.82582,0.90909,0.90678,0.79801,0.79274,0.67838,1.06913,0.0095248,0.0095248,0.0095248
74,309.023,1.07081,0.77731,1.12724,1,0.90144,0.98115,0.71647,0.85989,0.5614,1.11681,0.0095182,0.0095182,0.0095182
75,313.036,1.04953,0.7572,1.14582,1,0.88863,0.95711,0.71148,1.04567,0.62934,1.25525,0.0095116,0.0095116,0.0095116
76,317.141,1.05432,0.80205,1.12319,1,0.98988,0.995,0.77785,0.929,0.53205,1.22423,0.009505,0.009505,0.009505
77,321.086,1.07584,0.7999,1.14095,0.91665,0.99985,0.9875,0.66846,1.0816,0.69847,1.29169,0.0094984,0.0094984,0.0094984
78,325.078,1.08972,0.79921,1.1366,0.97976,0.90909,0.98115,0.63206,1.38593,0.69824,1.62412,0.0094918,0.0094918,0.0094918
79,329.066,1.03452,0.75473,1.11147,1,0.99566,0.995,0.68547,1.15312,0.63144,1.40455,0.0094852,0.0094852,0.0094852
80,333.153,0.99873,0.71825,1.11108,0.90993,1,0.9575,0.699,1.15447,0.73081,1.41327,0.0094786,0.0094786,0.0094786
81,337.211,1.05414,0.76958,1.14097,0.9632,1,0.995,0.69298,1.29046,0.66932,1.44795,0.009472,0.009472,0.009472
82,341.305,1.04905,0.75611,1.12492,0.98704,0.90909,0.9875,0.73997,0.97215,0.59073,1.21711,0.0094654,0.0094654,0.0094654
83,345.455,1.02357,0.72765,1.11462,0.98324,0.81818,0.96071,0.59502,1.09605,0.85047,1.35568,0.0094588,0.0094588,0.0094588
84,349.444,1.01947,0.73294,1.09722,0.81443,0.79943,0.71533,0.49019,1.27673,1.01384,1.51873,0.0094522,0.0094522,0.0094522
85,353.484,1.00217,0.74734,1.10729,0.96911,1,0.995,0.76281,0.88259,0.64403,1.13623,0.0094456,0.0094456,0.0094456
86,357.497,1.02428,0.76285,1.12921,0.99324,1,0.995,0.73253,0.82251,0.54856,1.11986,0.009439,0.009439,0.009439
87,361.537,1.0268,0.72688,1.13599,0.90046,0.90909,0.92662,0.65721,1.02209,0.67811,1.20703,0.0094324,0.0094324,0.0094324
88,365.64,1.04369,0.72072,1.10692,1,0.88964,0.98115,0.69049,1.02048,0.58387,1.37885,0.0094258,0.0094258,0.0094258
89,369.607,0.98962,0.68809,1.09419,0.99567,1,0.995,0.75831,0.94388,0.50116,1.2296,0.0094192,0.0094192,0.0094192
90,373.683,0.98754,0.72416,1.09891,0.99711,1,0.995,0.71422,0.94987,0.55738,1.41527,0.0094126,0.0094126,0.0094126
91,377.753,1.01247,0.70144,1.09463,0.99148,0.90909,0.9875,0.71866,0.94078,0.67509,1.22547,0.009406,0.009406,0.009406
92,381.779,0.98731,0.71028,1.10138,0.99419,1,0.995,0.65683,1.11099,0.68932,1.44875,0.0093994,0.0093994,0.0093994
