epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3746,1.66872,3.7233,1.4895,0.00256,1,0.6208,0.46219,0.74945,3.43274,0.9839,0.0025,0.0025,0.0025
2,18.6734,1.477,2.33214,1.35099,0.01027,1,0.47875,0.26548,1.22592,3.63082,1.34633,0.00509663,0.00509663,0.00509663
3,26.759,1.3892,1.98807,1.3032,0.00445,1,0.50178,0.24059,1.42688,3.65253,1.60339,0.00768984,0.00768984,0.00768984
4,34.8528,1.46317,1.94289,1.36384,0.91071,0.45455,0.65451,0.35475,1.68559,2.93836,2.04139,0.0099802,0.0099802,0.0099802
5,43.1269,1.51378,1.912,1.39857,0.49197,0.5294,0.33393,0.17015,1.50838,3.35658,1.72428,0.0099736,0.0099736,0.0099736
6,51.1153,1.61022,1.91543,1.49794,0.35969,0.63636,0.4044,0.13271,2.21513,4.99529,3.66109,0.009967,0.009967,0.009967
7,59.1535,1.57879,1.87837,1.49314,0.00283,1,0.04319,0.01841,2.25496,3.72402,2.63849,0.0099604,0.0099604,0.0099604
