epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,325.162,1.25202,1.04263,1.24495,0.91573,0.98878,0.9725,0.70935,0.91038,0.8009,1.19741,0.0095842,0.0095842,0.0095842
44,332.38,1.22873,1.06926,1.25413,0.9918,0.90909,0.92563,0.67574,0.97441,0.93673,1.23808,0.0095743,0.0095743,0.0095743
45,339.517,1.23123,1.05194,1.2648,0.9082,0.90017,0.95051,0.71671,0.87844,1.02707,1.22733,0.0095644,0.0095644,0.0095644
46,346.724,1.18642,0.97938,1.21409,0.88799,0.90909,0.95117,0.66615,0.95362,0.93619,1.23334,0.0095545,0.0095545,0.0095545
47,353.896,1.21167,0.98551,1.22792,0.99358,0.90909,0.9086,0.64589,1.15288,0.8602,1.37386,0.0095446,0.0095446,0.0095446
48,361.209,1.25001,1.03581,1.2526,0.91274,1,0.95,0.63561,1.14325,0.79547,1.35895,0.0095347,0.0095347,0.0095347
49,368.489,1.20867,0.95992,1.21349,0.90007,0.90909,0.89523,0.73664,0.84696,0.81537,1.11105,0.0095248,0.0095248,0.0095248
50,375.663,1.22922,0.98589,1.22736,0.8442,0.98618,0.96479,0.7059,1.10431,0.8671,1.38408,0.0095149,0.0095149,0.0095149
51,382.85,1.15659,0.96321,1.216,0.91038,1,0.9725,0.75367,0.90748,0.75615,1.18345,0.009505,0.009505,0.009505
52,390.009,1.19903,0.95077,1.221,0.98596,0.63636,0.75799,0.48224,1.60812,1.30983,1.83392,0.0094951,0.0094951,0.0094951
53,397.135,1.21994,0.95188,1.23985,0.86604,0.81818,0.86161,0.60602,1.26371,1.01416,1.43326,0.0094852,0.0094852,0.0094852
54,404.262,1.21799,1.00071,1.23189,0.90086,0.90909,0.90664,0.69824,1.03172,0.80583,1.31536,0.0094753,0.0094753,0.0094753
55,411.395,1.23083,0.97113,1.2441,0.88773,0.90909,0.89815,0.68964,1.02577,0.71026,1.31854,0.0094654,0.0094654,0.0094654
56,418.527,1.19756,0.96314,1.2257,0.89732,0.79622,0.83262,0.61629,1.08465,1.31556,1.31575,0.0094555,0.0094555,0.0094555
57,425.753,1.16846,0.94135,1.1766,0.96685,1,0.995,0.77943,0.91714,0.68608,1.16653,0.0094456,0.0094456,0.0094456
58,432.972,1.19551,0.94869,1.20639,1,0.9054,0.93412,0.64581,1.10863,0.85615,1.31905,0.0094357,0.0094357,0.0094357
59,440.157,1.16641,0.93694,1.20718,0.96897,0.90909,0.9875,0.73989,0.93,0.66359,1.16673,0.0094258,0.0094258,0.0094258
60,447.396,1.15294,0.90881,1.19855,1,0.98309,0.995,0.80815,0.81784,0.63612,1.10088,0.0094159,0.0094159,0.0094159
61,454.577,1.12806,0.88542,1.17611,0.91626,0.99515,0.9875,0.73978,0.87152,0.62016,1.21431,0.009406,0.009406,0.009406
62,461.833,1.12446,0.88705,1.19408,0.90784,0.89657,0.89884,0.76247,0.98792,0.751,1.3706,0.0093961,0.0093961,0.0093961
63,469.002,1.17414,0.93708,1.2006,1,0.89769,0.92023,0.66231,1.06334,1.04179,1.35107,0.0093862,0.0093862,0.0093862
64,476.19,1.15893,0.89974,1.19883,0.91053,1,0.9875,0.6876,1.14303,0.699,1.34523,0.0093763,0.0093763,0.0093763
65,483.339,1.14928,0.89266,1.18673,0.9083,0.90118,0.90909,0.72812,0.96926,0.70278,1.26773,0.0093664,0.0093664,0.0093664
66,490.554,1.11705,0.85105,1.16895,0.9086,0.90421,0.89256,0.56777,1.35519,1.10241,1.62135,0.0093565,0.0093565,0.0093565
67,497.677,1.12666,0.90209,1.17885,1,0.88905,0.90888,0.7196,0.91577,0.63171,1.21917,0.0093466,0.0093466,0.0093466
68,504.962,1.13952,0.88555,1.19181,0.90958,1,0.9875,0.74816,0.86454,0.63556,1.17963,0.0093367,0.0093367,0.0093367
69,512.331,1.11375,0.87341,1.18318,1,0.90484,0.97571,0.79039,0.83059,0.69303,1.18248,0.0093268,0.0093268,0.0093268
70,519.619,1.15338,0.89048,1.19425,0.89663,0.90909,0.9016,0.76562,0.90279,0.6345,1.27924,0.0093169,0.0093169,0.0093169
71,526.788,1.15122,0.88648,1.18486,0.99039,0.90909,0.98115,0.73761,0.98567,0.62268,1.26085,0.009307,0.009307,0.009307
72,533.98,1.09905,0.8647,1.17508,0.88798,0.72133,0.8061,0.592,1.20325,1.06574,1.50151,0.0092971,0.0092971,0.0092971
73,541.219,1.12199,0.88072,1.18241,0.82708,0.90909,0.88939,0.76544,0.86377,0.59092,1.23421,0.0092872,0.0092872,0.0092872
74,548.533,1.10722,0.87985,1.18319,0.86841,0.90909,0.94299,0.76149,0.75857,0.67634,1.10226,0.0092773,0.0092773,0.0092773
75,555.786,1.09278,0.87142,1.16344,0.96716,0.81818,0.94632,0.66036,1.08869,0.89939,1.52119,0.0092674,0.0092674,0.0092674
76,563.039,1.10972,0.8775,1.16956,1,0.90069,0.98115,0.75871,1.04666,0.71356,1.36613,0.0092575,0.0092575,0.0092575
77,570.219,1.12715,0.84647,1.1866,0.9862,0.90909,0.92802,0.7205,0.91018,0.5533,1.22196,0.0092476,0.0092476,0.0092476
78,577.346,1.10906,0.8584,1.17613,0.99959,1,0.995,0.6897,0.92383,0.6077,1.23904,0.0092377,0.0092377,0.0092377
79,586.13,1.05274,0.81274,1.14458,0.89538,0.90909,0.8669,0.71108,0.90162,0.60744,1.17681,0.0092278,0.0092278,0.0092278
80,593.607,1.08574,0.84732,1.15838,0.99883,0.90909,0.92,0.73936,0.90344,0.60167,1.18872,0.0092179,0.0092179,0.0092179
81,600.815,1.07122,0.81032,1.14679,0.90296,0.90909,0.93986,0.68913,1.05621,0.78787,1.36557,0.009208,0.009208,0.009208
82,607.938,1.07464,0.83801,1.14188,0.99395,0.90909,0.9064,0.70439,1.25711,0.70873,1.56713,0.0091981,0.0091981,0.0091981
83,615.232,1.06967,0.80006,1.14755,0.9025,1,0.98,0.73106,0.98958,0.69841,1.31768,0.0091882,0.0091882,0.0091882
84,622.485,1.05539,0.82495,1.14367,0.90523,0.90909,0.88375,0.63108,1.14933,0.63699,1.45741,0.0091783,0.0091783,0.0091783
85,629.59,1.08796,0.80047,1.15284,0.89287,0.81818,0.84963,0.62677,1.10309,0.6689,1.50709,0.0091684,0.0091684,0.0091684
86,636.831,1.07384,0.77642,1.13545,1,0.88742,0.91339,0.75627,0.77401,0.59752,1.14865,0.0091585,0.0091585,0.0091585
87,644.108,1.0345,0.79265,1.13948,0.89592,0.90909,0.91788,0.73134,0.86993,0.64937,1.18899,0.0091486,0.0091486,0.0091486
88,651.368,1.04749,0.79264,1.14033,0.99293,0.90909,0.9105,0.69347,0.99216,0.69384,1.24159,0.0091387,0.0091387,0.0091387
89,658.554,1.05555,0.8005,1.12826,0.89095,0.90909,0.95182,0.75885,0.81032,0.57147,1.13086,0.0091288,0.0091288,0.0091288
90,665.782,1.05698,0.80531,1.1442,1,0.89999,0.93594,0.66251,1.19952,0.73198,1.4559,0.0091189,0.0091189,0.0091189
91,673.096,1.03378,0.80143,1.1333,0.90854,1,0.9875,0.68936,1.05825,0.67268,1.33162,0.009109,0.009109,0.009109
92,680.208,1.04225,0.78761,1.13997,0.86615,0.90909,0.86609,0.65606,1.01413,0.73962,1.45466,0.0090991,0.0090991,0.0090991
93,687.352,1.02363,0.791,1.10796,0.90877,0.90591,0.90571,0.75467,0.9223,0.56222,1.22817,0.0090892,0.0090892,0.0090892
94,694.524,1.02567,0.7853,1.11161,0.99657,0.90909,0.95711,0.72479,0.91981,0.58812,1.28864,0.0090793,0.0090793,0.0090793
95,701.678,1.03317,0.79649,1.12042,1,0.99255,0.995,0.78195,0.81758,0.54418,1.23792,0.0090694,0.0090694,0.0090694
96,708.924,1.03301,0.79575,1.12117,0.99587,1,0.995,0.66139,1.13611,0.60311,1.36971,0.0090595,0.0090595,0.0090595
97,716.115,0.99601,0.76127,1.11451,1,0.9087,0.91107,0.48966,1.47055,1.17117,1.81179,0.0090496,0.0090496,0.0090496
98,723.315,1.0533,0.79717,1.13281,1,0.90699,0.93329,0.58737,1.26336,0.80944,1.5805,0.0090397,0.0090397,0.0090397
99,730.45,1.06459,0.79431,1.12829,0.9911,0.90909,0.91305,0.62803,1.08059,0.73981,1.37959,0.0090298,0.0090298,0.0090298
100,737.627,1.04284,0.77377,1.12506,1,0.99913,0.995,0.74001,0.87073,0.55834,1.16488,0.0090199,0.0090199,0.0090199
101,744.824,1.01364,0.77855,1.11314,1,0.99254,0.995,0.7361,0.96621,0.5707,1.26951,0.00901,0.00901,0.00901
102,752.128,1.0427,0.74721,1.13701,1,0.89442,0.90609,0.76637,0.87576,0.74076,1.17545,0.0090001,0.0090001,0.0090001
103,759.298,1.01924,0.77854,1.12028,0.77425,0.63636,0.72949,0.51443,1.37931,1.38377,1.61645,0.0089902,0.0089902,0.0089902
104,766.495,1.02121,0.76109,1.11414,0.9895,0.81818,0.84056,0.62674,1.08102,0.82347,1.35331,0.0089803,0.0089803,0.0089803
105,773.649,1.03199,0.76629,1.12328,0.90387,0.90909,0.90109,0.6886,1.03352,0.71036,1.31449,0.0089704,0.0089704,0.0089704
106,780.871,1.03202,0.77174,1.11469,1,0.90528,0.90748,0.762,0.87733,0.51345,1.25512,0.0089605,0.0089605,0.0089605
107,788.131,0.98482,0.75977,1.11493,0.90187,0.90909,0.90608,0.6941,0.9696,0.6902,1.29858,0.0089506,0.0089506,0.0089506
108,795.288,1.02618,0.75552,1.12986,0.9542,0.81818,0.9395,0.64919,0.95063,0.70183,1.23547,0.0089407,0.0089407,0.0089407
109,802.493,0.99848,0.72197,1.10747,0.9921,0.90909,0.938,0.69427,1.20801,0.66782,1.47606,0.0089308,0.0089308,0.0089308
110,809.678,0.9878,0.73538,1.09835,0.98195,0.90909,0.92237,0.6685,1.0432,0.65193,1.33711,0.0089209,0.0089209,0.0089209
111,817.008,0.99258,0.7497,1.10026,1,0.99344,0.995,0.8274,0.81675,0.53987,1.18161,0.008911,0.008911,0.008911
112,824.207,1.01191,0.75073,1.1056,1,0.89297,0.91076,0.76921,0.78074,0.48029,1.19141,0.0089011,0.0089011,0.0089011
113,831.504,0.99801,0.75683,1.12314,1,0.90426,0.92441,0.74526,0.80953,0.57861,1.15095,0.0088912,0.0088912,0.0088912
114,838.67,1.02149,0.72749,1.12052,0.99663,0.90909,0.90737,0.69264,1.11506,0.55568,1.47173,0.0088813,0.0088813,0.0088813
115,845.87,1.02184,0.76612,1.13769,0.73313,0.81818,0.82518,0.65585,0.83947,0.74386,1.21346,0.0088714,0.0088714,0.0088714
116,853.138,0.99241,0.74977,1.11102,0.90251,0.90909,0.93545,0.75117,0.81542,0.6028,1.16362,0.0088615,0.0088615,0.0088615
117,860.319,0.98767,0.73136,1.11144,0.9913,0.90909,0.98115,0.7329,0.83365,0.50851,1.12152,0.0088516,0.0088516,0.0088516
118,867.469,0.97429,0.74423,1.09704,0.90638,0.90909,0.88984,0.67331,1.08984,0.83631,1.32448,0.0088417,0.0088417,0.0088417
119,874.671,0.97476,0.75675,1.09547,0.90768,0.89494,0.9007,0.77642,0.75702,0.63314,1.14861,0.0088318,0.0088318,0.0088318
120,881.908,1.00531,0.73705,1.11303,0.90344,0.90909,0.89258,0.70707,0.90528,0.62631,1.25296,0.0088219,0.0088219,0.0088219
121,890.954,0.97724,0.75657,1.10155,0.99107,0.90909,0.90938,0.7619,0.73131,0.68768,1.11397,0.008812,0.008812,0.008812
122,898.645,0.97828,0.7172,1.08662,0.99477,0.90909,0.96,0.71326,0.94567,0.56042,1.35657,0.0088021,0.0088021,0.0088021
123,906.267,0.98056,0.70636,1.09191,1,0.88661,0.91565,0.74143,0.92514,0.50885,1.27898,0.0087922,0.0087922,0.0087922
124,913.666,0.96313,0.70033,1.08908,0.90296,0.90909,0.89815,0.77134,0.70732,0.50079,1.02277,0.0087823,0.0087823,0.0087823
125,921.18,0.96787,0.71808,1.10858,1,0.9056,0.90872,0.80717,0.75841,0.50609,1.13063,0.0087724,0.0087724,0.0087724
126,928.756,0.94135,0.69519,1.07298,0.90416,0.90909,0.89396,0.73543,0.88312,0.48547,1.16593,0.0087625,0.0087625,0.0087625
127,936.121,0.98145,0.73964,1.10127,0.90833,0.90144,0.92287,0.70534,1.00922,0.59457,1.37285,0.0087526,0.0087526,0.0087526
128,943.514,1.00879,0.75969,1.11655,0.90177,0.90909,0.87368,0.71673,0.83311,0.60283,1.19026,0.0087427,0.0087427,0.0087427
129,951.028,1.01128,0.77738,1.11683,0.99396,0.90909,0.90762,0.80731,0.70909,0.54359,1.04904,0.0087328,0.0087328,0.0087328
