epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.05782,1.93936,3.29817,1.72866,0.00404,1,0.62912,0.39255,0.57507,2.66672,0.94109,0.0013,0.0013,0.0013
2,11.6593,1.43184,2.84812,1.36295,0.00383,1,0.83561,0.54466,0.783,2.55525,1.03975,0.00269822,0.00269822,0.00269822
3,16.1245,1.4013,1.83077,1.29512,0.04213,0.90909,0.58674,0.33793,1.49732,2.58701,1.80418,0.00409459,0.00409459,0.00409459
4,20.6076,1.35873,1.5468,1.30498,0.00522,1,0.60782,0.34774,0.94591,2.57107,1.24419,0.00548911,0.00548911,0.00548911
5,24.8912,1.27888,1.43411,1.23539,1,0.40911,0.73597,0.48041,1.38118,2.38424,1.50618,0.00688178,0.00688178,0.00688178
6,29.2545,1.28333,1.40124,1.23454,1,0.23667,0.9245,0.6301,1.06058,2.307,1.39251,0.00827261,0.00827261,0.00827261
7,33.5952,1.35494,1.42025,1.28719,0.52408,0.40304,0.31127,0.18946,1.6283,2.6718,1.71636,0.00966159,0.00966159,0.00966159
8,37.8418,1.36876,1.46015,1.30573,0.9169,0.54545,0.815,0.43776,1.90501,2.0113,2.13694,0.0099538,0.0099538,0.0099538
9,42.4264,1.37833,1.42501,1.30428,0.59278,0.79522,0.6539,0.35154,1.76051,1.99389,2.10323,0.0099472,0.0099472,0.0099472
10,46.7194,1.41006,1.40955,1.30373,0.71724,0.72727,0.67255,0.36944,1.74033,1.68948,1.8227,0.0099406,0.0099406,0.0099406
11,51.0833,1.40629,1.38533,1.32022,0.61355,0.81818,0.78646,0.46457,1.22031,1.73494,1.50398,0.009934,0.009934,0.009934
12,55.4817,1.37452,1.3439,1.30761,0.78503,0.45455,0.55979,0.26734,1.90552,3.20752,2.40791,0.0099274,0.0099274,0.0099274
13,59.7934,1.38046,1.30299,1.31816,0.44121,0.45455,0.4163,0.16735,1.89037,2.93278,2.32038,0.0099208,0.0099208,0.0099208
14,64.1804,1.41592,1.31394,1.33481,0.83019,0.44598,0.50115,0.24241,2.147,2.78102,2.64153,0.0099142,0.0099142,0.0099142
15,68.465,1.4144,1.30621,1.35226,0.49538,0.81818,0.6226,0.3106,1.56991,3.37263,1.76463,0.0099076,0.0099076,0.0099076
16,72.7555,1.39894,1.24609,1.3268,0.81913,0.90909,0.9145,0.49476,1.31472,1.95416,1.63855,0.009901,0.009901,0.009901
17,77.111,1.36468,1.2169,1.30776,0.76283,0.81818,0.86302,0.5433,1.22743,2.20878,1.483,0.0098944,0.0098944,0.0098944
18,81.5171,1.37956,1.2574,1.30753,0.68024,0.96833,0.81779,0.38926,1.45676,1.69553,1.82211,0.0098878,0.0098878,0.0098878
19,85.8795,1.28619,1.17056,1.27826,0.9453,0.90909,0.9446,0.61016,1.30802,1.42213,1.47922,0.0098812,0.0098812,0.0098812
20,90.0733,1.31531,1.12366,1.28059,0.85113,0.90909,0.92597,0.67572,0.95159,1.19119,1.44859,0.0098746,0.0098746,0.0098746
21,94.5375,1.29489,1.14756,1.2768,0.99125,0.72727,0.88821,0.5853,1.32417,1.25721,1.808,0.009868,0.009868,0.009868
22,98.8271,1.31453,1.11363,1.2854,0.96249,0.81818,0.93125,0.62176,1.40154,1.04143,1.51637,0.0098614,0.0098614,0.0098614
23,103.143,1.31661,1.12615,1.25,0.91473,0.9768,0.98,0.63047,1.24057,0.91022,1.42914,0.0098548,0.0098548,0.0098548
24,107.436,1.27048,1.09868,1.24034,0.78033,1,0.93371,0.59342,1.31256,1.1058,1.5247,0.0098482,0.0098482,0.0098482
25,111.709,1.28045,1.08065,1.27029,0.89148,0.81818,0.83812,0.52428,1.35636,0.94587,1.5283,0.0098416,0.0098416,0.0098416
26,116.08,1.24043,1.05352,1.23576,0.89109,0.81818,0.84278,0.50857,1.87167,0.95691,2.29757,0.009835,0.009835,0.009835
27,120.438,1.27888,1.07205,1.24818,0.82058,1,0.97297,0.65819,1.24566,0.93198,1.48785,0.0098284,0.0098284,0.0098284
28,124.774,1.26244,1.0448,1.24374,1,0.63391,0.77501,0.53827,1.21131,1.22049,1.4933,0.0098218,0.0098218,0.0098218
29,129.128,1.26205,1.00874,1.24848,0.95101,0.72727,0.81949,0.58037,1.11854,1.29144,1.30282,0.0098152,0.0098152,0.0098152
30,133.393,1.27512,1.02845,1.25182,0.97762,1,0.995,0.68759,1.07881,0.86905,1.28421,0.0098086,0.0098086,0.0098086
31,137.712,1.27144,1.01811,1.24913,0.89991,0.90909,0.94687,0.62834,0.99723,1.08181,1.22376,0.009802,0.009802,0.009802
32,142.011,1.23476,0.99586,1.24439,0.77677,1,0.92571,0.72417,0.83811,0.84795,1.13606,0.0097954,0.0097954,0.0097954
33,146.387,1.23131,0.98647,1.22935,0.88491,0.90909,0.95869,0.65521,0.98397,1.06722,1.32832,0.0097888,0.0097888,0.0097888
34,151.236,1.23073,0.9995,1.21896,0.96524,0.81818,0.94211,0.67285,1.15364,0.91551,1.49527,0.0097822,0.0097822,0.0097822
35,155.758,1.21482,0.96469,1.22216,0.95303,0.81818,0.945,0.72557,1.17416,1.09346,1.46466,0.0097756,0.0097756,0.0097756
36,159.96,1.20707,0.985,1.20859,1,0.98621,0.995,0.62077,1.27668,0.77534,1.4684,0.009769,0.009769,0.009769
37,164.23,1.20335,0.97201,1.22146,0.82813,1,0.94931,0.52117,1.31374,1.4716,1.48404,0.0097624,0.0097624,0.0097624
38,168.432,1.19676,0.93939,1.20029,0.97799,0.90909,0.9215,0.69122,1.3176,0.97335,1.44528,0.0097558,0.0097558,0.0097558
39,172.595,1.20267,0.94772,1.20497,1,0.99195,0.995,0.70126,1.10248,0.84378,1.42324,0.0097492,0.0097492,0.0097492
40,176.779,1.20153,0.91696,1.20029,0.91095,1,0.9875,0.65613,1.09641,0.74981,1.3113,0.0097426,0.0097426,0.0097426
41,180.902,1.18395,0.98006,1.21221,0.89702,1,0.98,0.59237,1.39554,0.93649,1.53039,0.009736,0.009736,0.009736
42,185.066,1.20175,0.94447,1.22551,0.7547,0.90909,0.87702,0.49983,1.66148,1.09118,1.70402,0.0097294,0.0097294,0.0097294
43,189.203,1.19356,0.96472,1.21018,0.79908,0.81818,0.9065,0.57904,1.5165,0.91678,1.9006,0.0097228,0.0097228,0.0097228
