epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.08717,1.66872,3.7233,1.4895,0.00508,1,0.69669,0.51446,0.74945,2.99465,0.9839,0.0025,0.0025,0.0025
2,15.9199,1.477,2.33214,1.35099,0.01921,1,0.53006,0.28698,1.22593,3.06944,1.34633,0.00509663,0.00509663,0.00509663
3,22.5358,1.3892,1.98807,1.3032,0.00899,1,0.60223,0.29549,1.42688,3.09141,1.60339,0.00768984,0.00768984,0.00768984
4,29.2487,1.46317,1.94289,1.36384,0.95006,0.45455,0.69754,0.38194,1.68559,2.34512,2.04139,0.0099802,0.0099802,0.0099802
5,35.986,1.51378,1.912,1.39857,0.66526,0.54239,0.49621,0.24729,1.50837,2.44829,1.72428,0.0099736,0.0099736,0.0099736
6,42.6216,1.61022,1.91543,1.49794,0.58086,0.63636,0.58582,0.20253,2.21513,3.05168,3.66109,0.009967,0.009967,0.009967
7,49.2405,1.57879,1.87837,1.49314,0.00613,1,0.11804,0.05126,2.25496,3.08997,2.63849,0.0099604,0.0099604,0.0099604
8,56.1255,1.56994,1.76001,1.44874,0.69123,0.45455,0.49398,0.23123,1.92245,2.45127,2.21104,0.0099538,0.0099538,0.0099538
9,63.0312,1.5087,1.65373,1.44045,1,0.44608,0.63828,0.38381,1.66857,1.61484,2.19864,0.0099472,0.0099472,0.0099472
10,69.7969,1.52997,1.57418,1.43949,0.67944,0.63636,0.57857,0.3576,1.48684,1.85474,1.87638,0.0099406,0.0099406,0.0099406
11,76.8544,1.56065,1.64614,1.47119,0.77688,0.63343,0.72563,0.38554,1.57669,2.22909,1.85351,0.009934,0.009934,0.009934
12,83.5854,1.50336,1.57381,1.40287,0.31448,0.72727,0.40775,0.20776,2.21404,2.69683,2.48996,0.0099274,0.0099274,0.0099274
